function	1_demultiplex.bc1005--bc1101.hifi_reads	1_demultiplex.bc1007--bc1056.hifi_reads	1_demultiplex.bc1007--bc1096.hifi_reads	1_demultiplex.bc1008--bc1082.hifi_reads	1_demultiplex.bc1012--bc1065.hifi_reads	1_demultiplex.bc1015--bc1044.hifi_reads	1_demultiplex.bc1015--bc1082.hifi_reads	1_demultiplex.bc1020--bc1107.hifi_reads	1_demultiplex.bc1022--bc1059.hifi_reads	1_demultiplex.bc1024--bc1100.hifi_reads	2_demultiplex.bc1005--bc1083.hifi_reads	2_demultiplex.bc1007--bc1045.hifi_reads	2_demultiplex.bc1007--bc1075.hifi_reads	2_demultiplex.bc1008--bc1101.hifi_reads	2_demultiplex.bc1012--bc1101.hifi_reads	2_demultiplex.bc1015--bc1033.hifi_reads	2_demultiplex.bc1015--bc1060.hifi_reads	2_demultiplex.bc1020--bc1096.hifi_reads	2_demultiplex.bc1022--bc1056.hifi_reads	2_demultiplex.bc1024--bc1056.hifi_reads	3_demultiplex.bc1005--bc1035.hifi_reads	3_demultiplex.bc1005--bc1096.hifi_reads	3_demultiplex.bc1007--bc1035.hifi_reads	3_demultiplex.bc1007--bc1044.hifi_reads	3_demultiplex.bc1007--bc1056.hifi_reads	3_demultiplex.bc1007--bc1096.hifi_reads	3_demultiplex.bc1008--bc1035.hifi_reads	3_demultiplex.bc1008--bc1082.hifi_reads	3_demultiplex.bc1012--bc1035.hifi_reads	3_demultiplex.bc1012--bc1044.hifi_reads	3_demultiplex.bc1012--bc1065.hifi_reads	3_demultiplex.bc1012--bc1107.hifi_reads	3_demultiplex.bc1015--bc1035.hifi_reads	3_demultiplex.bc1015--bc1044.hifi_reads	3_demultiplex.bc1022--bc1035.hifi_reads	3_demultiplex.bc1022--bc1059.hifi_reads	3_demultiplex.bc1022--bc1100.hifi_reads	3_demultiplex.bc1024--bc1035.hifi_reads	3_demultiplex.bc1024--bc1089.hifi_reads	4_demultiplex.bc1005--bc1060.hifi_reads	4_demultiplex.bc1007--bc1096.hifi_reads	4_demultiplex.bc1008--bc1096.hifi_reads	4_demultiplex.bc1012--bc1096.hifi_reads	4_demultiplex.bc1015--bc1044.hifi_reads	4_demultiplex.bc1015--bc1082.hifi_reads	4_demultiplex.bc1015--bc1096.hifi_reads	4_demultiplex.bc1020--bc1065.hifi_reads	4_demultiplex.bc1020--bc1096.hifi_reads	4_demultiplex.bc1024--bc1044.hifi_reads
SULFATE-ADENYLYLTRANS-RXN	78.0	106.0	181.0	14.0	122.5	21.0	28.66	81.0	0.0	128.0	34.0	22.0	0.0	15.0	385.0	1.0	8.0	12.0	136.0	77.0	104.0	50.0	68.0	112.0	184.0	782.0	0.0	0.0	38.0	80.0	226.0	200.0	14.0	25.5	82.0	572.0	52.0	109.0	10.0	561.0	486.0	112.0	480.0	118.0	98.0	216.0	84.0	538.0	56.0
SULFITE-REDUCT-RXN	15.0	44.0	62.0	0.0	58.0	8.0	2.66	10.0	0.0	32.0	12.0	11.0	0.0	0.0	155.0	1.0	8.0	3.0	31.0	0.0	47.0	20.0	11.0	45.0	106.0	584.0	0.0	0.0	26.0	25.0	86.0	100.0	0.0	13.5	24.0	193.0	34.0	43.5	2.0	204.0	140.0	52.0	265.0	59.0	69.0	62.0	30.0	306.0	26.0
SULFITE-REDUCTASE-FERREDOXIN-RXN	6.0	6.0	9.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	61.0	9.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	14.0	18.0	0.0	0.0	4.0	35.0	78.0	4.0	19.0	0.0	0.0	10.0	0.0	0.0	0.0
SULFOCYS-RXN	48.0	50.0	113.0	14.0	125.5	13.0	53.33	37.0	0.0	64.0	17.0	32.0	0.0	10.0	242.5	2.0	8.0	6.0	86.0	183.0	53.0	34.0	58.0	56.0	119.0	609.0	0.0	0.0	19.0	40.0	186.0	100.0	14.0	15.0	54.0	286.0	26.0	67.5	14.0	298.0	416.0	60.0	302.0	74.0	54.0	118.0	42.0	300.0	30.0
SUPEROX-DISMUT-RXN	36.0	50.0	104.0	7.0	140.75	13.0	28.66	27.0	0.0	64.0	17.0	18.0	0.0	10.0	255.5	2.0	8.0	6.0	86.0	106.0	56.0	24.0	34.0	56.0	128.0	500.0	0.0	0.0	26.0	40.0	132.0	100.0	14.0	15.0	50.0	304.0	34.0	54.5	6.0	275.0	292.0	60.0	304.0	59.0	74.0	108.0	44.0	344.0	30.0
TAGAALDOL-RXN	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	16.0	0.0	0.0	6.5	8.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAGAKIN-RXN	0.0	0.0	0.0	7.0	14.0	0.0	26.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0
TARTRATE-DECARBOXYLASE-RXN	0.0	22.0	19.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	64.0	0.0	0.0	0.0	6.0	0.0	20.0	11.0	0.0	17.0	20.0	225.0	0.0	0.0	6.0	5.0	63.0	50.0	0.0	6.0	12.0	59.0	9.0	6.5	0.0	117.0	72.0	24.0	94.0	22.0	12.0	23.0	6.0	59.0	13.0
TARTRATE-DEHYDROGENASE-RXN	0.0	22.0	19.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	64.0	0.0	0.0	0.0	6.0	0.0	20.0	11.0	0.0	17.0	20.0	225.0	0.0	0.0	6.0	5.0	63.0	50.0	0.0	6.0	12.0	59.0	9.0	6.5	0.0	117.0	72.0	24.0	94.0	22.0	12.0	23.0	6.0	59.0	13.0
TDCEACT-RXN	6.0	0.0	0.0	0.0	143.5	5.0	1.33	68.0	0.0	0.0	0.0	7.0	0.0	35.0	84.5	0.0	0.0	0.0	30.0	0.0	4.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	14.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	34.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	4.0
