"feature","prev_GT_present","prev_GT_absent","prev_diff","abs_prev_diff","fisher_p","n_detected_present","n_detected_absent","n_total_present","n_total_absent"
"ESV_18232",0,0.0555555555555556,-0.0555555555555556,0.0555555555555556,0.498076923076923,0,2,29,36
"ESV_57492",0,0.0555555555555556,-0.0555555555555556,0.0555555555555556,0.498076923076923,0,2,29,36
"ESV_13840",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_28964",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_29006",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_29466",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_29482",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_47638",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_108424",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_121662",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_122302",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_145878",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_224936",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_243060",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_291688",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_303902",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_306536",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_361076",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_396196",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_406282",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_464896",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_475296",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_479488",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_486226",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_492284",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_494624",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_498816",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_571764",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_576500",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_664118",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_688040",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_691100",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_814248",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_814336",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_820296",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_820460",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_828200",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_861134",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_861466",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_869248",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_979544",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_979824",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_980018",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1018572",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1069218",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1069498",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1069692",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1108246",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1154124",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1289516",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1289848",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1375752",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1376084",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1501064",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1502542",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1581934",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1583412",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1642666",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1687586",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1747378",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1757860",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1758098",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1794390",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1794450",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1794656",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1794698",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1794776",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1831490",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1854404",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1864886",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1865124",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1901416",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1901476",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1901682",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1901724",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1901802",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_1938516",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2345380",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2345940",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2346078",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2346138",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2347050",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2347418",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2348492",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2348586",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2348748",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2490068",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2490334",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2490978",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2491074",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2492212",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2492416",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2492868",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2493044",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2493254",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2494364",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2574028",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2575972",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2576560",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2577336",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2577658",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2672900",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2673226",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2673228",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2673562",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2674592",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2674968",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2675318",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2675354",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2675358",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2675746",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2677712",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2847222",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2848684",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2849354",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2850092",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2985972",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2986080",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2987068",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2988654",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
"ESV_2989200",0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0.446153846153846,1,0,29,36
