"Metric","Mean","SE","SD","CI_Lower","CI_Upper"
"AUC",0.8375,0.0229001263060371,0.161928346010273,0.792615752440167,0.882384247559833
"Accuracy",0.733333333333333,0.0262500426960201,0.185615831967922,0.681883249649134,0.784783417017533
"Balanced_Accuracy",0.711666666666667,0.0327941079271754,0.231889360982692,0.647390215129403,0.77594311820393
