"Model","Metric","Mean","SE","SD","CI_Lower","CI_Upper"
"Individual_Metabolites","AUC",0.75875,0.0198955705374167,0.140682928425826,0.719754681746663,0.797745318253337
"Individual_Metabolites","Accuracy",0.708333333333333,0.0201665114850902,0.142598770239836,0.668806970822557,0.74785969584411
"Individual_Metabolites","Balanced_Accuracy",0.71,0.0197044488916196,0.13933149430808,0.671379280172426,0.748620719827574
"Protective_Score","AUC",0.780277777777778,0.0224747906141954,0.158920768490454,0.736227188173955,0.824328367381601
"Protective_Score","Accuracy",0.731309523809524,0.0229818545161852,0.162506251726372,0.686265088957801,0.776353958661247
"Protective_Score","Balanced_Accuracy",0.723333333333333,0.0267197600706161,0.188937235376102,0.670962603594926,0.775704063071741
