fold,accuracy,logloss,n_train,n_test,best_iteration
1,0.5384615384615384,0.6901857639521936,52,13,6
2,0.6153846153846154,0.6726144565292013,52,13,49
3,0.6153846153846154,0.6715606665042568,52,13,58
4,0.46153846153846156,0.6943481232935507,52,13,1
5,0.5384615384615384,0.6901858758800908,52,13,12
