"Run","Accuracy","Balanced_Accuracy","Sensitivity","Specificity","Kappa","Most_Important_PC"
1,0.476,0.577,0.154,1,0.122,"PC6"
2,0.429,0.45,0.5,0.4,-0.077,"PC1"
3,0.429,0.432,0.5,0.364,-0.135,"PC1"
4,0.571,0.625,0.25,1,0.222,"PC2"
5,0.524,0.542,0.417,0.667,0.079,"PC5"
6,0.667,0.655,0.4,0.909,0.316,"PC9"
7,0.429,0.536,0.214,0.857,0.053,"PC5"
8,0.524,0.527,0.455,0.6,0.054,"PC1"
9,0.571,0.583,0.5,0.667,0.16,"PC9"
10,0.524,0.542,0.667,0.417,0.079,"PC1"
