pathway	1_demultiplex.bc1005--bc1101.hifi_reads	1_demultiplex.bc1007--bc1056.hifi_reads	1_demultiplex.bc1007--bc1096.hifi_reads	1_demultiplex.bc1008--bc1082.hifi_reads	1_demultiplex.bc1012--bc1065.hifi_reads	1_demultiplex.bc1015--bc1044.hifi_reads	1_demultiplex.bc1015--bc1082.hifi_reads	1_demultiplex.bc1020--bc1107.hifi_reads	1_demultiplex.bc1022--bc1059.hifi_reads	1_demultiplex.bc1024--bc1100.hifi_reads	2_demultiplex.bc1005--bc1083.hifi_reads	2_demultiplex.bc1007--bc1045.hifi_reads	2_demultiplex.bc1007--bc1075.hifi_reads	2_demultiplex.bc1008--bc1101.hifi_reads	2_demultiplex.bc1012--bc1101.hifi_reads	2_demultiplex.bc1015--bc1033.hifi_reads	2_demultiplex.bc1015--bc1060.hifi_reads	2_demultiplex.bc1020--bc1096.hifi_reads	2_demultiplex.bc1022--bc1056.hifi_reads	2_demultiplex.bc1024--bc1056.hifi_reads	3_demultiplex.bc1005--bc1035.hifi_reads	3_demultiplex.bc1005--bc1096.hifi_reads	3_demultiplex.bc1007--bc1035.hifi_reads	3_demultiplex.bc1007--bc1044.hifi_reads	3_demultiplex.bc1007--bc1056.hifi_reads	3_demultiplex.bc1007--bc1096.hifi_reads	3_demultiplex.bc1008--bc1035.hifi_reads	3_demultiplex.bc1008--bc1082.hifi_reads	3_demultiplex.bc1012--bc1035.hifi_reads	3_demultiplex.bc1012--bc1044.hifi_reads	3_demultiplex.bc1012--bc1065.hifi_reads	3_demultiplex.bc1012--bc1107.hifi_reads	3_demultiplex.bc1015--bc1035.hifi_reads	3_demultiplex.bc1015--bc1044.hifi_reads	3_demultiplex.bc1022--bc1035.hifi_reads	3_demultiplex.bc1022--bc1059.hifi_reads	3_demultiplex.bc1022--bc1100.hifi_reads	3_demultiplex.bc1024--bc1035.hifi_reads	3_demultiplex.bc1024--bc1089.hifi_reads	4_demultiplex.bc1005--bc1060.hifi_reads	4_demultiplex.bc1007--bc1096.hifi_reads	4_demultiplex.bc1008--bc1096.hifi_reads	4_demultiplex.bc1012--bc1096.hifi_reads	4_demultiplex.bc1015--bc1044.hifi_reads	4_demultiplex.bc1015--bc1082.hifi_reads	4_demultiplex.bc1015--bc1096.hifi_reads	4_demultiplex.bc1020--bc1065.hifi_reads	4_demultiplex.bc1020--bc1096.hifi_reads	4_demultiplex.bc1024--bc1044.hifi_reads
SUCSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.146148512260027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULFATE-CYS-PWY	24.021835069185126	41.60844860298305	80.26130958171939	0.0	82.69165980268102	7.7882437030936815	9.272297802580104	20.626383216078594	0.0	39.724137931034484	14.775954893556108	6.071119312939173	0.0	0.0	166.27813622006607	1.2272727272727273	0.0	3.724137931034483	47.504447576730335	43.64224256619149	48.73043945148024	23.275763380625662	26.45132102147213	40.882503572730506	84.37057538666035	412.4631743954503	0.0	0.0	17.383484516734438	27.322009396458256	104.54293955634131	73.97260273972603	0.0	11.116792249730896	33.78467366790628	213.0082354186072	24.28444351420648	40.26830785111466	4.256756756756757	234.71154693351934	216.5340605156402	42.7583206438982	255.42964173645296	51.03771527532791	48.15843732926732	77.41229194315413	30.169443298382397	237.88301940660722	21.28351013136093
TCA	29.963414634146343	38.7530530241353	64.48	11.72093023255814	92.49646163383792	11.508196721311474	6.815081302520824	28.0199185559047	0.0	38.4	15.761194029850744	13.112582781456952	0.0	9.0	176.69488034152144	0.0	9.6	3.5999999999999996	70.29139072847681	45.97837835388167	46.91853046989703	20.887011979660432	24.758650149508757	36.346153846153854	106.01431127012522	351.18524917610364	0.0	0.0	16.65168539325843	25.0	100.61980111326537	66.66666666666667	16.8	9.700598802395211	31.87992970123023	193.20481927710844	21.917355371900825	37.932773109243705	6.467065868263474	226.66194821720265	216.72430797554077	42.35294117647059	226.52514654530898	47.97802197802197	46.68669527896996	80.56653531820729	27.5820895522388	221.62622950819673	22.33576642335766
TCA-GLYOX-BYPASS	14.588817417120238	0.0	0.0	0.0	53.47097250514064	0.0	0.0	0.0	0.0	0.0	0.0	10.533693632832291	0.0	0.0	83.02171696603227	0.0	0.0	0.0	0.0	31.386649575990003	13.036275377126355	9.676202064756547	19.970138968645916	0.0	0.0	252.00313329781466	0.0	0.0	0.0	0.0	65.9082400544547	0.0	0.0	0.0	24.538029656922742	0.0	0.0	16.580999623257565	5.8483754512635375	112.13363402814934	170.78385093679339	13.286467486818982	120.52848537239315	0.0	15.323327293618528	0.0	0.0	0.0	0.0
THISYN-PWY	0.0	0.0	0.0	0.0	59.69568072665116	0.0	7.624542679709184	29.660743134087237	0.0	0.0	0.0	0.0	0.0	0.0	129.66628968660268	0.0	0.0	0.0	0.0	0.0	29.711234421395165	0.0	0.0	0.0	80.15116893294683	0.0	0.0	0.0	13.983644859813083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.13540004558924	0.0	0.0	0.0	0.0	0.0	156.00344332553803	0.0	37.67384895986357	0.0	14.777937256510153	166.79433424186365	0.0
THRESYN-PWY	24.268482490272376	28.84848484848485	54.68965517241379	7.636363636363638	91.92523743464074	9.569620253164556	26.64841552597037	32.618739127354594	0.0	32.0	10.999999999999998	9.707865168539325	0.0	7.826086956521738	133.3457045136182	1.125	8.0	3.0000000000000004	61.493975903614455	75.1898313616914	37.801462904911176	18.11842105263158	24.393939393939398	28.000000000000004	88.32196452933151	263.3251833740831	0.0	0.0	13.805309734513274	20.0	89.60728151071913	49.99999999999999	15.272727272727275	7.875	29.649810599095286	157.01098901098902	17.95774647887324	34.20689855409093	5.400000000000001	203.5826713437957	209.18726273711493	33.88235294117647	206.01002686953655	37.0	39.29813664596273	60.460396039603964	22.309859154929573	178.04472843450478	17.557377049180328
TRNA-CHARGING-PWY	0.0	22.227822580645164	37.93253784893046	0.0	79.6945095034888	9.248763174876315	9.630062448747868	26.157394843962017	0.0	0.0	0.0	0.0	0.0	9.473684210526311	120.72473020194838	1.05	0.0	0.0	58.06476364596567	63.983394607664536	34.05012530011785	13.665071770334928	0.0	0.0	87.22032334647733	240.60372238671147	0.0	0.0	12.836839314124099	0.0	72.23024463143446	0.0	15.473684210526317	5.809426229508197	21.109598605958684	93.5642855270944	16.442869796279894	23.92731231155805	3.849287169042769	147.97130992717078	149.15757480235118	20.2787756861618	167.72413474472458	35.0196068445712	36.435300706042476	0.0	11.74576271186441	164.51163593961695	14.068305498217303
TRPSYN-PWY	22.90909090909091	32.74744784731469	59.73634651600753	7.000000000000001	84.92765763021627	10.0	30.447027338931115	30.0	0.0	35.55555555555556	12.222222222222223	10.0	0.0	10.714285714285714	142.41499385497747	1.153846153846154	8.88888888888889	3.333333333333334	64.44444444444444	78.85865433350227	39.939375795224905	18.88888888888889	27.66323024054983	31.111111111111114	92.22222222222221	277.77777777777777	0.0	0.0	14.444444444444443	22.222222222222225	80.49438960600693	55.55555555555555	15.555555555555557	8.418367346938776	31.325301204819272	169.94444444444446	18.88888888888889	33.888888888888886	6.164383561643835	174.199853408258	212.67550511227432	35.55555555555556	188.86961762938975	41.11111111111111	41.11111111111111	64.88798370672097	24.444444444444446	191.11111111111111	18.88888888888889
TYRFUMCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.94312796208531	0.0	0.0	57.23610697366817	0.0	0.0	0.0	0.0	0.0	7.518796992481203	5.627283800243606	0.0	0.0	22.459893048128343	237.44832943932005	0.0	0.0	0.0	0.0	52.236090824591685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.37623762376237	60.2949473862386	8.23529411764706	49.566475197432005	0.0	0.0	0.0	0.0	0.0	0.0
UBISYN-PWY	17.739538521705125	0.0	36.329828045313	0.0	6.076199852654061	5.614877024595081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.15923150430017	1.565217391304348	8.727272727272727	0.0	37.46091413925673	54.82758620689655	20.428795146033334	0.0	0.0	0.0	56.15829206270485	254.0975949453088	0.0	0.0	9.144788070226989	0.0	24.343723673125528	0.0	0.0	7.431192660550459	0.0	85.10251664552135	12.848664289078798	26.730337078651683	0.0	64.6490243739425	55.38331494047759	11.586206896551726	137.2573145530401	28.362927674317884	25.75024106996773	0.0	10.364554122265844	132.7193480552658	9.224882601889963
UDPNAGSYN-PWY	23.04878048780488	28.000000000000004	52.0	7.000000000000001	61.87324654052381	9.0	28.969162627444422	13.73384657684905	0.0	32.0	10.999999999999998	11.381443298969073	0.0	7.499999999999999	113.34385557900876	1.25	8.0	3.0000000000000004	58.576158940397356	60.99999999999999	31.790613718411556	19.956521739130434	23.0	28.000000000000004	70.79411764705881	250.0	0.0	0.0	8.863636363636363	20.0	81.46160962072156	50.0	14.000000000000002	8.035714285714285	22.75711159737418	155.28846153846155	12.540983606557377	30.499999999999996	5.0	157.79863067648216	182.9030271209031	32.0	160.97853289434693	37.0	25.57405614714424	59.0	21.153846153846157	151.20879120879118	17.0
VALSYN-PWY	26.125269978401732	73.84831214379658	92.53758638273926	9.333333333333336	93.68995560393951	20.82644628099174	36.289163735955924	34.26825673321721	0.0	36.57142857142857	27.09768758848513	33.3984375	0.0	14.117647058823529	234.04313144873834	1.3333333333333333	9.142857142857142	3.428571428571429	83.69319243057262	73.7933130699088	79.79901439752634	36.91158156911582	27.63948497854077	60.19702484570344	147.46414174557046	504.80574369260967	0.0	0.0	24.961232843727426	31.557377049180328	160.49555712588895	137.93103448275863	18.66666666666667	19.718804920913886	61.623820972813014	288.7640421683387	34.46974561620153	36.10661764705882	7.636363636363638	335.2194825746547	351.1392958670457	79.52023988005996	352.76056344273894	78.81788915394772	70.07066474892126	97.64730467087186	35.537359263050156	342.0164964345665	44.257920713262216
