"","num.trees","mtry","min.node.size","sample.fraction","mean_accuracy","sd_accuracy","min_accuracy","max_accuracy"
"1",500,20,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"2",1000,20,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"3",2000,20,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"4",500,40,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"5",1000,40,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"6",2000,40,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"7",500,60,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"8",1000,60,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"9",2000,60,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"10",500,100,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"11",1000,100,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"12",2000,100,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"13",500,200,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"14",1000,200,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"15",2000,200,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"16",500,500,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"17",1000,500,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"18",2000,500,1,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"19",500,20,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"20",1000,20,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"21",2000,20,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"22",500,40,3,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
