fold,accuracy,n_train,n_test,oob_error
1,0,52,13,0.2731987772491936
2,0,52,13,0.26495821882018633
3,0,51,14,0.2454962633456756
4,0,53,12,0.2670877001772845
5,0,52,13,0.29229043597249904
